Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
6,1,0.9261019209382507,0.001951856350105052,2.3126673221588137,0.020060710564179445,0.00979456901550293,0.0006209801558214069,0.3,{'learning_rate': 0.3},0.9235749917375857,0.9240385260885731,0.9267129614079871,0.9283313826644244,0.9278517427926829
5,2,0.9258375164353962,0.001508429175653335,2.358028221130371,0.02643747310438347,0.010418128967285157,0.001492523883292089,0.25,{'learning_rate': 0.25},0.923945832128398,0.9241021724985541,0.9265568442238581,0.9274364724124109,0.9271462609137603
8,3,0.9253948016938172,0.0017772989122640417,2.346306896209717,0.02605855298844492,0.009734249114990235,0.000735886313205163,0.4,{'learning_rate': 0.4},0.9236450286086095,0.9232138984136165,0.9259463918005214,0.9280749377094429,0.9260937519368954
7,4,0.9253919252339898,0.001830159260100714,2.3149975776672362,0.015574124902952237,0.00999908447265625,0.0008932430056861877,0.35,{'learning_rate': 0.35},0.9226912361604561,0.9237408855242503,0.9266727210249865,0.9273586737792909,0.926496109680965
9,5,0.9252022968761354,0.0021830347140531893,2.3610332012176514,0.05172973767111248,0.009200143814086913,0.0007486988058092489,0.45,{'learning_rate': 0.45},0.924318802672891,0.9214361883417336,0.9267304010603308,0.9276732901603645,0.925852802145357
10,6,0.9247622372559328,0.0014934384431937568,2.3287015914916993,0.03681760613644741,0.009599065780639649,0.0004888904578365801,0.5,{'learning_rate': 0.5},0.9246638875691976,0.9219993235148312,0.9261494668633687,0.925998069302635,0.9250004390296308
4,7,0.9246470602426673,0.0020278092560869856,2.2120819091796875,0.008078666688913416,0.009202003479003906,0.00040364303464922313,0.2,{'learning_rate': 0.2},0.9225971866479387,0.9218919766793356,0.9263672687437509,0.9269142208412015,0.9254646483011102
3,8,0.9199821757359782,0.0026878138514809915,2.222673273086548,0.004462892674377912,0.010400533676147461,0.0004901740567391855,0.1,{'learning_rate': 0.1},0.9174890135710154,0.9161822611129473,0.9208806895250988,0.9224465132783221,0.9229124011925078
2,9,0.9129377246285426,0.002894314752042369,2.2392106533050535,0.02065687373335621,0.01080617904663086,0.0003934626831236868,0.05,{'learning_rate': 0.05},0.9108735953895728,0.9084673608815996,0.9137587876470421,0.9152266709984257,0.9163622082260723
1,10,0.9021531017019655,0.0037904481200696566,2.2606467247009276,0.03096485779001853,0.011702346801757812,0.0003985831406054835,0.02,{'learning_rate': 0.02},0.897526697926134,0.8979332345286293,0.9036680110270277,0.9045040178958808,0.9071335471321551
0,11,0.8917478475203673,0.0037088923626265565,2.250644159317017,0.020336791972675804,0.010802698135375977,0.0004010183887696754,0.01,{'learning_rate': 0.01},0.8864546109435677,0.8884748357845162,0.8946386633216983,0.8929142812723391,0.8962568462797147
